TableName,totalRowCount
bkp_Aug26_customerMapping_Old,2
bkp_Aug26_CustomerTenant,2
bkp_Aug26_dataRefinedConfigs,8
bkp_Aug26_dimDate,8355
bkp_Aug26_dimDateUnpivot,25200
bkp_Aug26_dimEncounter,217
bkp_Aug26_dimLocation,11
bkp_Aug26_dimLocationTypeMapping,10
bkp_Aug26_dimModality,71
bkp_Aug26_dimMonth,276
bkp_Aug26_dimOrganization,7
bkp_Aug26_dimPractitioner,63
bkp_Aug26_dimServiceRequest,139
bkp_Aug26_dimSmartImpressionVersion,8
bkp_Aug26_dimUserLevelRLS,0
bkp_Aug26_dimWeek,1200
bkp_Aug26_factAggregatedModalityTATData,7
bkp_Aug26_factAggregatedOrgTATData,4
bkp_Aug26_factDiagAggregatedOnlyTATData,4
bkp_Aug26_factDiagAggregatedOrgModalityTATData,7
bkp_Aug26_factDiagAggregatedOrgSiteModalityTATData,9
bkp_Aug26_factDiagFinalReportModality,39
bkp_Aug26_factDiagFinalReportPractitioner,28
bkp_Aug26_factDiagPreliminaryReports,13
bkp_Aug26_factPractitionerDiagReportMapping,257
bkp_Aug26_purge_CustomerFileInventory,0
bkp_Aug26_purge_CustomerSummary,0
bkp_Aug26_purgeAuditLog,46
bkp_Aug26_synapse_Configuration,8
bkp_Aug26_tenant_Configuration,32
bkp_Aug26_tenant_processing_details,58
